Location,Crime_Type,Time,DateOccurred,Investigation Status,CrimeCode,Comments
PREETVIHAR,sexual harassement,20:27,2019-09-01,Open,C4324,-
MANSAROVAR PARK,robbery,07:51,2020-01-28,Under Investigation,C9930,-
NAJAFGARH,gangrape,19:27,2020-03-19,Closed,C6203,-
JAHANGIR PURI,sexual harassement,17:50,2019-09-30,Open,Unknown,Missing information
CONNAUGHT PLACE,theft,14:14,2019-10-19,Closed,C6205,-
KARAWAL NAGAR,theft,08:37,2019-09-25,Under Investigation,C3334,-
AMAN VIHAR,assualt murders,11:31,2020-06-08,Unknown,C5866,Missing information
BAWANA,robbery,13:06,2020-03-25,Under Investigation,C3863,-
JYOTI NAGAR,theft,23:42,2019-10-09,Under Investigation,C9893,-
PASCHIM VIHAR,rape,23:33,2020-06-14,Under Investigation,C9662,-
GEETA COLONY,sexual harassement,21:20,2019-12-31,Closed,C6249,-
SARAI ROHILLA,rape,02:51,2019-12-24,Open,C7197,-
RANHOLA,sexual harassement,22:18,2019-09-06,Under Investigation,C4793,-
CHANDNI MAHAL,theft,04:31,2019-07-08,Under Investigation,C7230,-
VIJAY VIHAR,murder,04:40,2019-08-10,Open,C3839,-
GOVIND PURI,robbery,00:36,2020-03-16,Open,C7676,-
KRISHNA NAGAR,rape,00:06,2019-08-02,Under Investigation,C7796,-
DABRI,robbery,15:51,2019-08-22,Open,C3098,-
GOVIND PURI,sexual harassement,03:13,2020-06-19,Closed,C7961,-
NEW ASHOK NAGAR,assualt murders,06:23,2019-09-06,Under Investigation,C3269,-
TIMARPUR,assualt murders,11:10,2019-09-04,Under Investigation,Unknown,Missing information
NEW ASHOK NAGAR,assualt murders,16:24,2019-12-08,Open,C8103,-
GULABIBAGH,robbery,11:03,2020-06-06,Closed,C8460,-
NEW ASHOK NAGAR,theft,07:03,2019-07-22,Open,C6200,-
BINDAPUR,sexual harassement,15:19,2019-12-31,Closed,C1376,Missing information
MANGOLPURI,sexual harassement,21:12,2020-03-14,Under Investigation,C6092,-
SEEMAPURI,assualt murders,19:05,2019-08-27,Open,C1182,-
JAGATPURI,assualt murders,08:24,2019-11-29,Closed,C4913,-
GANDHI NAGAR,rape,01:45,2020-01-02,Under Investigation,C7223,-
KASHMERE GATE,assualt murders,16:12,2020-01-06,Closed,C9539,-
KRISHNA NAGAR,assualt murders,14:07,2020-06-05,Open,C3234,-
MANSAROVAR PARK,theft,01:56,2020-05-27,Open,C3334,-
INDERPURI,murder,04:53,2019-09-29,Unknown,C4116,Missing information
TILAK NAGAR,murder,11:05,2019-10-20,Open,C9926,-
DABRI,assualt murders,13:06,2020-04-14,Open,C2818,-
PARSHAD NAGAR,rape,12:17,2019-09-11,Closed,C2961,-
SAFDARJUNG ENCLAVE,assualt murders,06:21,2020-05-06,Closed,Unknown,Missing information
SARAI ROHILLA,murder,17:27,2020-04-27,Closed,C8514,-
NARELA,murder,14:55,2020-01-14,Open,C2131,-
SAGARPUR,theft,19:38,2019-09-18,Unknown,Unknown,Missing information
PREETVIHAR,sexual harassement,22:01,2019-11-18,Closed,C2216,-
BARA HINDU RAO,robbery,03:18,2020-05-14,Unknown,C8007,Missing information
SWARUP NAGAR,gangrape,00:57,2020-03-14,Open,C3315,-
KALKAJI,theft,18:47,2019-08-04,Closed,C4651,-
PRASHANT VIHAR,theft,03:04,2019-12-02,Open,C3493,-
ADRASH NAGAR,robbery,15:50,2020-02-13,Open,C7892,-
SUBHASH PLACE,assualt murders,17:29,2019-10-07,Closed,C7433,Missing information
RANI BAGH,sexual harassement,02:05,2019-06-29,Unknown,C3342,Missing information
GULABIBAGH,murder,14:17,2019-07-14,Closed,C2997,-
LAJPAT NAGAR,murder,21:21,2019-06-29,Open,C1027,-
NEW USMANPUR,murder,05:46,2019-07-25,Open,C7948,-
NIHAL VIHAR,sexual harassement,01:17,2020-02-25,Closed,C3539,-
WELCOME,gangrape,08:35,2019-10-18,Under Investigation,C2136,-
PARLIAMENT STREET,rape,19:03,2019-08-08,Under Investigation,Unknown,Missing information
DWARKA NORTH,rape,05:05,2020-06-18,Closed,C8550,-
ANANDVIHAR,rape,02:35,2020-05-28,Open,C5072,-
KARAWAL NAGAR,robbery,08:17,2020-01-09,Under Investigation,C7351,Missing information
BHARAT NAGAR,sexual harassement,01:18,2019-11-05,Under Investigation,C5966,-
MODEL TOWN,theft,05:34,2019-12-07,Open,C5770,-
MANDIR MARG,sexual harassement,19:06,2019-09-23,Closed,C6200,-
PAHARGANJ,theft,02:42,2019-07-09,Unknown,C2744,Missing information
KAPASHERA,robbery,17:30,2020-05-11,Open,C5934,-
CHANDNI MAHAL,rape,09:45,2019-10-06,Open,C8517,-
GEETA COLONY,gangrape,09:04,2019-07-21,Open,C9512,-
KASHMERE GATE,robbery,03:10,2020-04-07,Under Investigation,C1945,-
DWARKA NORTH,rape,12:54,2020-03-27,Open,C7631,-
TIMARPUR,assualt murders,22:57,2020-04-13,Open,C3122,-
BAWANA,robbery,00:10,2020-03-08,Under Investigation,C6051,-
MANDAWALI,rape,10:18,2019-09-20,Closed,C7808,-
CONNAUGHT PLACE,murder,20:42,2019-11-25,Under Investigation,C4901,Missing information
FATEHPUR BERI,murder,10:02,2019-08-28,Under Investigation,C8506,-
KALKAJI,sexual harassement,13:47,2019-09-16,Unknown,Unknown,Missing information
DWARKA NORTH,rape,20:01,2019-11-28,Under Investigation,C6215,-
SAKET,theft,18:26,2019-09-18,Closed,C8539,-
ROHINI SOUTH,rape,05:46,2019-08-20,Open,C1855,-
SHALIMAR BAGH,gangrape,14:29,2020-04-01,Unknown,C3401,Missing information
DABRI,rape,14:15,2020-03-29,Open,C8483,-
NABI KARIM,theft,10:10,2019-07-27,Open,C7140,-
ROHINI NORTH,assualt murders,09:53,2019-10-16,Under Investigation,C7681,-
KALYANPURI,sexual harassement,10:41,2019-12-14,Open,C5798,-
MEHRAULI,sexual harassement,09:06,2019-10-19,Open,C6437,-
NIHAL VIHAR,sexual harassement,06:48,2019-12-07,Under Investigation,C5006,-
FARASH BAZAR,murder,12:39,2019-12-25,Under Investigation,C7370,-
GOKULPURI,murder,01:25,2020-01-16,Closed,Unknown,Missing information
TILAK MARG,rape,03:23,2019-12-13,Open,C9246,-
GOKULPURI,rape,15:47,2020-06-02,Closed,C3780,-
KN KATJU MARG,gangrape,17:04,2019-10-11,Open,C8904,-
KOTALA MUBARAK PUR,robbery,03:12,2020-01-19,Open,C9599,-
KALKAJI,rape,17:00,2020-01-21,Closed,C6572,-
DWARKA SOUTH,sexual harassement,23:07,2020-04-27,Closed,C5864,-
VASANT VIHAR,sexual harassement,13:24,2020-06-14,Closed,C2362,-
MANDIR MARG,sexual harassement,12:44,2020-02-07,Open,C4703,-
GEETA COLONY,theft,05:53,2019-11-17,Closed,C2238,-
DWARKA SEC-23,assualt murders,06:01,2020-05-23,Closed,C6683,-
GREATER KAILASH,robbery,19:10,2020-01-03,Closed,C7222,-
SUBHASH PLACE,sexual harassement,08:47,2019-10-02,Open,C9156,-
SHAHBAD DAIRY,gangrape,20:01,2020-05-03,Open,C6378,-
PREETVIHAR,murder,23:33,2020-05-06,Closed,C6860,-
ADRASH NAGAR,assualt murders,14:33,2020-04-27,Open,C9418,-
MOTI NAGAR,gangrape,01:43,2020-03-17,Closed,C6476,-
MADHUVIHAR,assualt murders,10:28,2020-05-31,Under Investigation,C6665,-
ANANDVIHAR,assualt murders,07:31,2020-03-29,Under Investigation,C4679,-
JAMIA NAGAR,theft,13:35,2019-07-13,Closed,C3382,-
SARITA VIHAR,murder,11:07,2019-06-26,Closed,C3147,-
SHAHBAD DAIRY,robbery,06:12,2020-06-21,Under Investigation,C2823,-
MEHRAULI,assualt murders,04:11,2019-11-19,Closed,C8320,-
MUKHERJI NAGAR,sexual harassement,09:22,2020-04-15,Open,C4292,-
KN KATJU MARG,rape,19:27,2019-09-24,Under Investigation,C9120,-
PARSHAD NAGAR,assualt murders,22:10,2020-04-11,Under Investigation,C9902,-
BHARAT NAGAR,murder,11:23,2019-11-01,Open,C6927,-
CHANAKYAPURI,rape,05:07,2019-08-18,Under Investigation,C9082,-
PRASHANT VIHAR,murder,13:06,2019-06-22,Open,C2595,-
D.B.G ROAD,assualt murders,11:43,2020-01-02,Closed,C3171,-
H. N. DIN,assualt murders,19:29,2020-01-29,Open,C7399,-
CHANDNI MAHAL,theft,06:57,2019-12-09,Closed,C1635,-
TUGLAK ROAD,sexual harassement,03:36,2019-10-14,Closed,C4935,-
WELCOME,robbery,18:40,2020-04-05,Open,C7686,-
CHANDNI MAHAL,theft,17:27,2019-09-18,Unknown,Unknown,Missing information
INDERPURI,gangrape,21:04,2020-05-01,Under Investigation,C2971,-
PULPRAHLAD PUR,sexual harassement,16:58,2020-06-14,Open,C9882,-
LODHI COLONY,rape,23:42,2020-01-23,Open,C6613,-
NIHAL VIHAR,rape,18:44,2019-11-10,Unknown,C5049,Missing information
MODEL TOWN,assualt murders,17:37,2020-04-30,Unknown,Unknown,Missing information
SHAHDARA,assualt murders,15:37,2020-02-19,Closed,C5793,-
AMAN VIHAR,sexual harassement,21:47,2019-10-06,Unknown,Unknown,Missing information
HAUZQAZI,sexual harassement,03:09,2019-08-30,Closed,C3955,-
SWARUP NAGAR,assualt murders,06:44,2019-11-21,Open,C6486,-
PANDAV NAGAR,assualt murders,06:06,2020-05-14,Open,C8811,-
CHANDNI MAHAL,sexual harassement,07:43,2020-03-16,Open,C5181,-
AMAN VIHAR,assualt murders,06:02,2019-12-17,Open,C2256,-
JYOTI NAGAR,theft,12:39,2020-04-07,Open,C1906,-
OKHLA,theft,14:32,2019-11-06,Closed,C8660,-
JAHANGIR PURI,theft,03:00,2019-07-20,Closed,C2658,-
CHANAKYAPURI,sexual harassement,07:45,2019-11-29,Open,C5867,-
DWARKA NORTH,theft,23:21,2019-08-19,Closed,C4021,-
DWARKA SOUTH,theft,22:59,2019-11-29,Closed,C5206,-
RAJINDER NAGAR,robbery,18:10,2020-04-21,Under Investigation,C6739,-
NEW ASHOK NAGAR,rape,11:15,2019-11-02,Open,C2206,-
MANDAWALI,sexual harassement,22:49,2019-08-22,Open,C3644,-
BAWANA,rape,08:49,2019-07-11,Under Investigation,C5915,-
GREATER KAILASH,theft,20:25,2019-07-26,Closed,C3244,-
JANAK PURI,sexual harassement,16:14,2019-08-03,Closed,C5994,-
PANDAV NAGAR,sexual harassement,19:41,2019-07-08,Open,C8531,-
NEW USMANPUR,assualt murders,20:11,2019-08-17,Open,C7685,-
SOUTH CAMPUS,robbery,07:59,2019-10-13,Open,C8022,-
MANGOLPURI,sexual harassement,20:45,2020-05-18,Under Investigation,C5414,-
DELHI CANTT,sexual harassement,08:28,2019-12-27,Under Investigation,C2667,-
GEETA COLONY,sexual harassement,12:30,2019-10-02,Open,C9219,-
KN KATJU MARG,robbery,03:46,2020-05-03,Closed,C5040,-
SHAHBAD DAIRY,theft,17:10,2019-07-06,Unknown,Unknown,Missing information
SARITA VIHAR,robbery,17:27,2019-08-05,Under Investigation,C1249,-
OKHLA,assualt murders,19:27,2019-11-13,Open,C3312,-
BABA HARI DAS NAGAR,gangrape,23:20,2019-12-26,Open,C6774,-
LAJPAT NAGAR,assualt murders,15:06,2020-03-11,Unknown,C1469,Missing information
MANDAWALI,theft,03:38,2020-03-04,Open,C3732,-
VASANT VIHAR,murder,19:26,2019-11-15,Under Investigation,C9799,-
KHAJURIKHAS,sexual harassement,02:25,2020-04-24,Open,C2427,-
CONNAUGHT PLACE,rape,23:44,2019-12-04,Closed,C5703,Missing information
MEHRAULI,sexual harassement,07:16,2020-01-03,Under Investigation,C9248,-
CHANAKYAPURI,gangrape,05:46,2020-01-27,Closed,C9079,-
RANI BAGH,sexual harassement,12:42,2019-07-21,Under Investigation,C7933,-
BHAJANPURI,gangrape,08:41,2019-06-23,Closed,C9174,-
H. N. DIN,sexual harassement,18:08,2020-04-05,Closed,C2807,-
MAURYA ENCLAVE,murder,14:57,2019-12-07,Open,C2003,-
BAWANA,gangrape,16:48,2019-07-07,Open,C6203,-
ROHINI NORTH,theft,03:20,2019-11-24,Under Investigation,C6610,-
NIHAL VIHAR,theft,13:51,2020-03-22,Open,C5810,-
TIMARPUR,assualt murders,01:27,2019-08-09,Closed,C1752,-
JAMA MASJID,assualt murders,03:34,2020-04-16,Under Investigation,C7570,-
JAMIA NAGAR,rape,14:55,2020-02-06,Unknown,C1516,Missing information
NIHAL VIHAR,assualt murders,07:00,2019-12-10,Closed,C9170,-
JAGATPURI,sexual harassement,21:59,2020-01-26,Under Investigation,C3322,-
DEFENCE COLONY,theft,15:48,2019-08-03,Closed,C8296,-
JAFFARPUR KALAN,theft,03:57,2020-05-09,Open,C4841,-
BARAKHAMBA ROAD,theft,09:50,2019-12-16,Under Investigation,C2077,-
PULPRAHLAD PUR,gangrape,05:50,2019-07-12,Under Investigation,C7512,-
MAYURVIHAR,rape,04:36,2019-10-10,Open,C9203,-
WELCOME,assualt murders,06:52,2019-06-23,Under Investigation,C7237,-
VASANT KUNJ SOUTH,gangrape,01:57,2020-02-21,Open,C9613,-
SAROJINI NAGAR,sexual harassement,14:31,2019-09-28,Closed,C1248,-
SHAHBAD DAIRY,gangrape,04:49,2020-01-28,Open,C8744,-
SARITA VIHAR,gangrape,02:08,2019-09-03,Closed,C6752,-
PARSHAD NAGAR,gangrape,04:31,2019-11-26,Closed,C5241,-
FATEHPUR BERI,murder,17:35,2020-02-14,Unknown,Unknown,Missing information
JAMIA NAGAR,murder,15:58,2019-07-04,Under Investigation,C8661,-
SHALIMAR BAGH,robbery,16:12,2019-09-09,Under Investigation,C8916,-
AMAN VIHAR,gangrape,19:57,2020-02-13,Under Investigation,C9143,-
BARAKHAMBA ROAD,gangrape,06:07,2019-08-17,Closed,C3713,Missing information
DWARKA SOUTH,gangrape,20:05,2019-07-22,Closed,C9593,-
FATEHPUR BERI,sexual harassement,11:06,2020-05-27,Closed,C2758,-
PARSHAD NAGAR,robbery,12:20,2020-01-16,Closed,C1153,-
SAROJINI NAGAR,theft,12:07,2019-08-22,Unknown,C8050,Missing information
ROHINI SOUTH,gangrape,03:47,2019-10-01,Closed,C6356,-
ROOP NAGAR,assualt murders,22:07,2019-11-28,Under Investigation,C7307,-
AMAR COLONY,murder,07:58,2019-11-02,Unknown,Unknown,Missing information
KALKAJI,sexual harassement,08:42,2019-08-05,Unknown,C5003,Missing information
BADAR PUR,robbery,02:17,2020-05-31,Open,C9588,-
RANHOLA,sexual harassement,07:41,2020-05-11,Open,C2188,-
FATEHPUR BERI,robbery,23:02,2019-08-23,Under Investigation,C8728,-
LAHORI GATE,rape,03:09,2019-12-14,Open,C3233,-
ASHOK VIHAR,theft,11:06,2019-09-18,Under Investigation,C5610,-
VASANT KUNJ SOUTH,rape,13:40,2019-09-17,Under Investigation,C6798,-
BARA HINDU RAO,rape,15:07,2019-08-14,Under Investigation,C1382,-
JANAK PURI,rape,12:17,2019-11-19,Closed,C2832,-
CHANDNI MAHAL,murder,00:30,2020-03-02,Closed,C7203,-
BURARI,gangrape,12:32,2019-08-05,Open,C1352,-
G.T.B. ENCLAVE,murder,09:54,2019-12-22,Open,C1766,-
SANGAM VIHAR,assualt murders,04:04,2020-05-24,Under Investigation,C3087,-
SHALIMAR BAGH,robbery,00:39,2019-12-10,Under Investigation,C7273,-
MUNDKA,gangrape,13:12,2020-03-02,Open,C7662,-
UTTAM NAGAR,robbery,18:49,2020-03-20,Unknown,C7391,Missing information
MEHRAULI,gangrape,16:54,2020-01-19,Open,C6594,-
SULTAN PURI,rape,03:45,2019-09-17,Under Investigation,C9140,-
KHYALA,sexual harassement,06:43,2020-04-15,Under Investigation,C6652,-
GANDHI NAGAR,robbery,18:51,2019-12-08,Open,C7670,-
BHAJANPURI,murder,01:05,2019-12-31,Unknown,C7989,Missing information
MAURICE NAGAR,rape,03:54,2019-11-10,Closed,C9863,-
RAJINDER NAGAR,sexual harassement,11:37,2019-11-21,Open,C8409,-
VASANT VIHAR,rape,14:33,2019-11-04,Under Investigation,C8496,-
BINDAPUR,gangrape,09:23,2020-05-24,Under Investigation,C1908,-
JYOTI NAGAR,robbery,01:26,2020-02-16,Under Investigation,Unknown,Missing information
TIMARPUR,theft,17:33,2020-04-01,Under Investigation,C8631,-
SWARUP NAGAR,rape,16:53,2019-08-25,Under Investigation,C2349,-
PALAM VILLAGE,rape,22:39,2019-07-14,Closed,C3363,-
KOTALA MUBARAK PUR,assualt murders,20:14,2020-06-17,Closed,C4826,-
HARI NAGAR,robbery,15:15,2019-12-19,Closed,C2145,-
KOTALA MUBARAK PUR,sexual harassement,20:54,2019-09-04,Closed,C2194,-
SUNLIGHT COLONY,rape,22:47,2020-02-16,Open,C7459,-
JYOTI NAGAR,murder,05:48,2020-04-05,Unknown,C5142,Missing information
BARAKHAMBA ROAD,robbery,15:49,2019-12-26,Unknown,C7199,Missing information
SEELAMPUR,rape,19:29,2019-08-25,Under Investigation,C9402,-
MANDAWALI,assualt murders,12:47,2019-07-15,Closed,C8197,-
PASCHIM VIHAR,robbery,04:23,2019-11-10,Closed,C2616,-
KAMLA MARKET,assualt murders,10:42,2019-11-13,Open,C9634,-
ADRASH NAGAR,assualt murders,11:37,2020-02-25,Closed,C1763,-
SHALIMAR BAGH,sexual harassement,06:12,2019-10-14,Under Investigation,C7662,-
GOVIND PURI,assualt murders,09:32,2020-01-26,Open,C1326,-
SARITA VIHAR,gangrape,21:41,2020-04-12,Open,C7334,-
MANSAROVAR PARK,robbery,10:58,2020-03-12,Unknown,Unknown,Missing information
DELHI CANTT,sexual harassement,10:55,2020-02-02,Under Investigation,C1212,-
TILAK NAGAR,robbery,17:03,2020-01-03,Open,C8635,-
TILAK NAGAR,gangrape,14:04,2020-01-31,Closed,C8121,-
KALKAJI,sexual harassement,03:56,2019-12-03,Open,C9706,-
KAMLA MARKET,sexual harassement,07:28,2020-06-17,Closed,C6271,-
KALKAJI,robbery,11:49,2019-10-17,Under Investigation,C8121,-
LODHI COLONY,murder,04:32,2019-07-16,Closed,C4301,-
MANSAROVAR PARK,sexual harassement,01:30,2020-04-10,Open,C8245,-
KHAJURIKHAS,rape,19:47,2020-02-13,Closed,Unknown,Missing information
KALYANPURI,rape,09:24,2020-01-01,Under Investigation,C1466,-
INDERPURI,theft,09:51,2019-08-27,Under Investigation,C8124,-
FATEHPUR BERI,theft,04:06,2019-11-21,Closed,C9911,-
GANDHI NAGAR,gangrape,07:22,2019-11-08,Unknown,C7273,Missing information
SONIA VIHAR,theft,22:55,2020-04-11,Open,C3012,-
DARYA GANJ,sexual harassement,12:27,2019-12-24,Closed,C5366,-
GOKULPURI,gangrape,16:51,2019-10-25,Closed,C8101,-
LAJPAT NAGAR,robbery,05:40,2019-08-15,Open,C5931,-
RAJOURI GARDEN,theft,15:44,2020-02-24,Under Investigation,C3856,-
SHAHBAD DAIRY,murder,16:37,2019-08-26,Under Investigation,C2902,-
ROHINI NORTH,sexual harassement,21:07,2020-05-08,Closed,C4847,-
RANJIT NAGAR,gangrape,19:15,2020-04-07,Closed,C9736,-
PREETVIHAR,rape,21:51,2019-07-13,Under Investigation,C6599,-
BURARI,murder,17:07,2020-01-19,Under Investigation,C4488,-
FATEHPUR BERI,assualt murders,16:12,2020-04-21,Under Investigation,C2621,-
CHHAWLA,sexual harassement,11:45,2020-04-05,Under Investigation,C7767,-
VASANT KUNJ SOUTH,theft,05:07,2020-02-19,Open,C4243,-
MAYURVIHAR,rape,09:42,2020-04-14,Closed,C2560,-
SONIA VIHAR,gangrape,10:58,2020-05-26,Under Investigation,C2384,-
GEETA COLONY,theft,16:19,2019-11-12,Open,C9973,-
RAJOURI GARDEN,sexual harassement,09:38,2019-12-03,Under Investigation,C6034,Missing information
DEFENCE COLONY,sexual harassement,03:54,2019-07-27,Under Investigation,C7988,-
VIKAS PURI,rape,02:14,2020-04-07,Under Investigation,C5743,-
JAHANGIR PURI,robbery,17:55,2019-12-09,Unknown,C3293,Missing information
H. N. DIN,theft,05:38,2019-10-16,Under Investigation,C8620,-
MAYA PURI,robbery,05:51,2020-01-23,Closed,C6383,-
BHAJANPURI,gangrape,09:12,2020-04-14,Closed,C6352,-
ADRASH NAGAR,murder,08:33,2020-03-14,Under Investigation,Unknown,Missing information
BHAJANPURI,rape,16:06,2019-11-20,Open,C4382,-
NARAINA,rape,17:41,2019-08-25,Under Investigation,C1607,-
SAGARPUR,assualt murders,15:14,2019-11-29,Open,C6565,-
SUBZIMANDI,rape,01:36,2019-06-26,Closed,C1000,-
H. N. DIN,murder,10:53,2019-07-21,Open,C5714,-
JAMA MASJID,robbery,14:56,2020-04-24,Closed,C7622,-
DWARKA SOUTH,theft,00:31,2020-05-22,Under Investigation,C4896,-
VIKAS PURI,sexual harassement,21:54,2019-12-12,Closed,C7891,-
NARELA,theft,11:59,2019-12-19,Closed,C9195,-
MADHUVIHAR,assualt murders,19:12,2019-06-28,Open,C6959,Missing information
NARAINA,gangrape,15:26,2019-10-21,Open,C5333,-
AMAR COLONY,assualt murders,23:02,2020-03-01,Open,C5920,Missing information
NEW USMANPUR,theft,15:11,2020-06-10,Open,C9494,-
CHANDNI MAHAL,assualt murders,04:40,2020-04-27,Open,C5331,-
HARI NAGAR,sexual harassement,00:17,2019-08-23,Under Investigation,C7529,-
DELHI CANTT,murder,15:42,2019-10-04,Under Investigation,C6319,Missing information
AMAN VIHAR,robbery,05:50,2020-05-21,Open,C8045,-
KRISHNA NAGAR,robbery,11:46,2019-07-23,Unknown,C3751,Missing information
VASANT KUNJ NORTH,sexual harassement,02:14,2020-03-22,Open,C5727,-
BAWANA,murder,14:05,2019-07-24,Closed,C3392,-
I.P. ESTATE,murder,20:07,2020-02-25,Open,C5071,-
FATEHPUR BERI,sexual harassement,23:27,2019-08-09,Under Investigation,C4107,-
SADAR BAZAR,robbery,16:24,2020-02-18,Open,C2304,Missing information
NIHAL VIHAR,theft,06:17,2019-11-22,Closed,C1567,-
BINDAPUR,gangrape,05:27,2020-04-06,Open,C4771,-
MALVIYA NAGAR,gangrape,07:00,2020-03-08,Closed,C4401,-
DARYA GANJ,theft,08:17,2020-06-08,Open,C5130,-
DWARKA SOUTH,sexual harassement,21:11,2020-01-04,Closed,C8297,-
RAJINDER NAGAR,robbery,08:45,2020-01-19,Closed,C1162,-
KHAJURIKHAS,rape,03:44,2020-04-17,Open,C5711,-
CIVIL LINES,theft,05:06,2019-12-27,Open,C4964,-
SAGARPUR,theft,09:26,2019-12-29,Under Investigation,C9314,-
VIVEKVIHAR,robbery,05:28,2020-01-27,Open,C7415,Missing information
SAMAYPURBADLI,robbery,09:30,2020-01-05,Under Investigation,C2207,-
PALAM VILLAGE,rape,18:15,2019-09-07,Under Investigation,C3901,-
CHANDNI MAHAL,theft,09:17,2019-08-19,Open,C3618,-
ANANDVIHAR,assualt murders,06:43,2019-07-05,Closed,C4604,-
DARYA GANJ,theft,18:26,2019-09-22,Open,C8126,-
VASANT KUNJ NORTH,murder,02:42,2019-08-13,Under Investigation,C7917,-
GOVIND PURI,murder,00:52,2020-05-21,Unknown,Unknown,Missing information
JAHANGIR PURI,sexual harassement,08:31,2020-03-19,Closed,C5791,-
KHAJURIKHAS,assualt murders,11:38,2020-04-12,Open,C5960,-
MUNDKA,robbery,03:17,2020-01-12,Under Investigation,C9486,-
SWARUP NAGAR,murder,12:54,2020-03-23,Under Investigation,C5159,-
MODEL TOWN,robbery,23:25,2020-02-06,Open,Unknown,Missing information
ASHOK VIHAR,robbery,18:00,2020-06-10,Closed,C2537,-
SARAI ROHILLA,gangrape,03:15,2020-03-18,Closed,C4244,-
SUNLIGHT COLONY,gangrape,03:06,2020-04-13,Closed,C5004,-
NABI KARIM,theft,19:50,2020-05-07,Open,Unknown,Missing information
ASHOK VIHAR,rape,02:48,2020-03-08,Under Investigation,C9892,-
KAMLA MARKET,murder,12:35,2020-03-11,Open,C2684,Missing information
MUKHERJI NAGAR,robbery,04:07,2020-04-18,Closed,C2714,-
BABA HARI DAS NAGAR,theft,03:56,2019-12-04,Closed,C1643,-
ASHOK VIHAR,gangrape,08:03,2020-05-01,Open,C3717,-
ASHOK VIHAR,rape,18:47,2019-08-30,Closed,C5177,-
MUNDKA,sexual harassement,10:32,2020-04-23,Closed,C9093,-
AMAR COLONY,murder,08:14,2020-05-14,Under Investigation,C9982,-
SUBZIMANDI,robbery,03:59,2020-02-20,Open,C9765,-
NANGLOI,assualt murders,13:39,2019-10-04,Closed,C1592,-
OKHLA,robbery,16:24,2020-06-06,Open,C9824,-
BHAJANPURI,assualt murders,11:34,2019-11-18,Closed,C7179,-
VIKAS PURI,robbery,18:57,2019-08-08,Closed,C8362,-
PASCHIM VIHAR,sexual harassement,14:10,2019-10-08,Open,C3363,-
VIKAS PURI,robbery,14:04,2019-06-26,Open,C3665,-
SEELAMPUR,rape,07:41,2019-08-08,Under Investigation,Unknown,Missing information
ROHINI SOUTH,gangrape,12:28,2020-06-20,Closed,C3694,-
FARASH BAZAR,assualt murders,22:14,2019-08-17,Under Investigation,C8712,-
SWARUP NAGAR,assualt murders,12:41,2019-12-30,Unknown,C2521,Missing information
PULPRAHLAD PUR,sexual harassement,13:50,2019-07-26,Open,C7281,-
RANJIT NAGAR,rape,07:43,2019-11-19,Closed,C7163,-
LAHORI GATE,sexual harassement,15:20,2020-04-21,Under Investigation,C7759,-
SARITA VIHAR,murder,00:09,2020-05-28,Closed,C8658,-
DARYA GANJ,sexual harassement,03:36,2020-06-15,Under Investigation,C9144,-
HARI NAGAR,robbery,17:17,2020-05-20,Under Investigation,C2105,-
MAURYA ENCLAVE,sexual harassement,00:58,2019-09-20,Unknown,Unknown,Missing information
CHANAKYAPURI,theft,15:44,2019-09-20,Under Investigation,C2336,-
PREETVIHAR,rape,11:04,2020-05-12,Open,C5104,-
NEB SARAI,sexual harassement,20:45,2019-07-20,Under Investigation,C2127,-
SUBZIMANDI,sexual harassement,16:27,2019-10-03,Open,C7833,-
SANGAM VIHAR,rape,17:35,2019-10-14,Closed,C3050,-
ROHINI NORTH,robbery,05:01,2020-02-18,Closed,C4395,-
JAFFARPUR KALAN,theft,17:33,2020-05-24,Closed,C4111,-
SAGARPUR,theft,05:27,2019-09-08,Open,C4358,-
KAROL BAGH,murder,17:18,2019-08-09,Under Investigation,C4658,-
SHAHBAD DAIRY,murder,02:04,2020-01-24,Closed,C7172,-
HAUZQAZI,theft,02:47,2020-04-03,Open,C7850,-
KASHMERE GATE,robbery,23:20,2020-01-26,Closed,C8553,-
BINDAPUR,rape,03:15,2020-04-16,Under Investigation,C7435,-
SAGARPUR,theft,10:14,2019-12-16,Unknown,C9909,Missing information
KRISHNA NAGAR,assualt murders,02:43,2020-01-17,Open,C7002,-
NEW FRIENDS COLONY,gangrape,23:14,2019-09-30,Under Investigation,C8023,-
KANJHAWALA,murder,08:37,2019-09-29,Closed,C2010,Missing information
NEW FRIENDS COLONY,murder,17:54,2020-01-13,Open,C7732,-
VASANT KUNJ NORTH,sexual harassement,15:55,2020-06-12,Open,C7854,-
SULTAN PURI,rape,12:24,2019-08-13,Unknown,Unknown,Missing information
BADAR PUR,sexual harassement,09:49,2019-09-30,Closed,C9338,-
PASCHIM VIHAR,assualt murders,18:15,2019-10-12,Unknown,C6645,Missing information
KHYALA,assualt murders,23:45,2019-10-15,Unknown,Unknown,Missing information
INDERPURI,theft,21:47,2019-11-02,Closed,C3443,-
PARSHAD NAGAR,sexual harassement,18:46,2019-10-03,Closed,C3114,-
NARELA,gangrape,22:52,2019-11-13,Open,C2717,-
NAJAFGARH,rape,12:34,2020-03-15,Unknown,Unknown,Missing information
G.T.B. ENCLAVE,murder,23:09,2019-11-16,Open,C4149,-
LAHORI GATE,murder,18:31,2020-02-08,Open,C6236,-
